"Long","Lat","SiteNum","Name","State","First","Last","PercComp","Elev","Dist","Years","loc","scale","shape","distToGdr","inlandGdr"
150.06,-27.34,"042016","HANNAFORD POST OFFICE","QLD",1927,2016,0.86,283,297.16,77.4,51.601777301226,14.9367350217865,0.278945009802726,156.102949748466,TRUE
150.15,-26.45,"042020","LANCEWOOD","QLD",1922,1967,0.98,346,279.27,45.08,60.2133689052928,20.7363991366943,0.0727706889559855,131.927518446887,TRUE
150.18,-26.66,"042023","MILES POST OFFICE","QLD",1885,2016,0.99,302,287.49,130.68,55.8145533290198,19.0910004808404,0.0478331906780824,128.699821952332,TRUE
150.18,-26.3,"042033","SHELBOURNE","QLD",1958,2011,0.99,379,268.61,53.46,52.6512929101567,19.1608238148114,0.0524986617677499,129.103297425574,TRUE
150.14,-26.93,"042048","CONDAMINE","QLD",1937,2016,0.92,287,291.14,73.6,56.3880174030259,22.0971868798745,0.107977006807296,134.527690923284,TRUE
150.84,-26.16,"042075","BAWNDUGGIE","QLD",1947,2015,0.86,367,203.64,59.34,57.724224038447,16.8242318087051,0.332457895519741,63.320175164802,TRUE
150.47,-26.92,"042078","HAREWOOD","QLD",1937,2016,0.96,313,258.78,76.8,52.09025686773,17.0952256767874,0.184112094583324,102.157342394324,TRUE
150.18,-27.92,"042085","ULUPNA","QLD",1936,1987,0.99,257,293.73,51.48,50.9670938745524,14.9358910115331,0.0479529668047201,176.455443231745,TRUE
150.41,-27.13,"042086","WOODLEA","QLD",1939,2015,0.99,341,262.66,76.23,51.5367082759367,15.4679840103873,0.226016770238146,115.000827181434,TRUE
150.51,-26.73,"042089","SOMERSET","QLD",1911,2000,0.86,330,255.37,77.4,59.1571010349163,21.9184427169173,0.104175411852659,95.8226785855034,TRUE
152.35,-28.46,"056022","LEGUME (NEW KOREELAH)","NSW",1903,2016,0.99,385,116.37,112.86,58.0460298323392,19.7260286896119,0.068755760585173,5.04066700349059,TRUE
152.42,-28.39,"056023","OLD KOREELAH (MCPHERSON)","NSW",1912,2016,0.98,420,107.6,102.9,58.8933021825344,21.4330593157632,0.226175516160972,2.73281756874106,FALSE
152.1,-28.48,"056040","CULLENDORE (ASHGLEN)","NSW",1949,2011,0.87,820,140.45,54.81,61.359062367451,18.8546399488151,0.128127028192813,26.2510328167114,TRUE
152.55,-28.47,"057020","URBENVILLE OLD POST OFFICE","NSW",1935,2012,0.98,370,98.32,76.44,66.6920053228643,24.2308468804581,0.178291118191576,6.58403307626036,FALSE
152.61,-28.39,"057024","WOODENBONG (UNUMGAR ST)","NSW",1933,2015,0.97,395,89.75,80.51,67.5138495636041,27.0849809706142,0.108383476234551,14.4335750181375,FALSE
